,I_e,I_i,avg_speed
0,-0.17999999999999994,-0.6599999999999999,0.0022678987189861718
0,-0.16000000000000006,-0.6599999999999999,0.002982982246487661
0,-0.14,-0.6599999999999999,0.0046276806637392896
0,-0.12,-0.6599999999999999,0.007685099426869236
0,-0.09999999999999998,-0.6599999999999999,0.01420326634815775
0,-0.07999999999999996,-0.6599999999999999,0.019587762875896003
0,-0.059999999999999935,-0.6599999999999999,0.019517952391706096
0,-0.040000000000000036,-0.6599999999999999,0.019394822911580636
0,-0.020000000000000014,-0.6599999999999999,0.019235919590867144
0,0.0,-0.6599999999999999,0.019029184274436416
0,-0.29999999999999993,-0.64,0.0008393098962902314
0,-0.28,-0.64,0.0009087858854825497
0,-0.26,-0.64,0.0009791157933758954
0,-0.24,-0.64,0.0010633155531135363
0,-0.22,-0.64,0.001170450867579362
0,-0.2,-0.64,0.0012941033070866708
0,-0.17999999999999994,-0.64,0.001602699863041
0,-0.16000000000000006,-0.64,0.00209502966300689
0,-0.14,-0.64,0.0029681101792889217
0,-0.12,-0.64,0.004468763965044506
0,-0.09999999999999998,-0.64,0.007116268841059284
0,-0.07999999999999996,-0.64,0.012662999986234803
0,-0.059999999999999935,-0.64,0.019457852566787386
0,-0.040000000000000036,-0.64,0.01934471836208279
0,-0.020000000000000014,-0.64,0.019190048357373944
0,0.0,-0.64,0.018983260384502185
0,0.020000000000000014,-0.64,0.018741405557839454
0,-0.28,-0.62,0.0008121021290547418
0,-0.26,-0.62,0.0008713846715105744
0,-0.24,-0.62,0.0009424542906615357
0,-0.22,-0.62,0.0010364288762777468
0,-0.2,-0.62,0.001105997386585825
0,-0.17999999999999994,-0.62,0.0012260017673195662
0,-0.16000000000000006,-0.62,0.0014899801137519758
0,-0.14,-0.62,0.0019304527062554396
0,-0.12,-0.62,0.002699565993422097
0,-0.09999999999999998,-0.62,0.004115944410762614
0,-0.07999999999999996,-0.62,0.00666053036911452
0,-0.059999999999999935,-0.62,0.011431054357817553
0,-0.040000000000000036,-0.62,0.019289001745345626
0,-0.020000000000000014,-0.62,0.019137456304188727
0,0.0,-0.62,0.01892985358470374
0,0.020000000000000014,-0.62,0.018704894045534666
0,0.040000000000000036,-0.62,0.018413390097570502
0,-0.26,-0.6,0.0006820492228755664
0,-0.24,-0.6,0.0008785684478066363
0,-0.22,-0.6,0.0009055578228654669
0,-0.2,-0.6,0.0010163229579292278
0,-0.17999999999999994,-0.6,0.001031682304998656
0,-0.16000000000000006,-0.6,0.00123527615449132
0,-0.14,-0.6,0.0014019212382148903
0,-0.12,-0.6,0.001803581521661146
0,-0.09999999999999998,-0.6,0.0026326888570097663
0,-0.07999999999999996,-0.6,0.003940429071354834
0,-0.059999999999999935,-0.6,0.006197569650029633
0,-0.040000000000000036,-0.6,0.0107916602737703
0,-0.020000000000000014,-0.6,0.017257807983823908
0,0.0,-0.6,0.018879321169590138
0,0.020000000000000014,-0.6,0.01865315470419976
0,0.040000000000000036,-0.6,0.018381059173219312
0,0.06000000000000005,-0.6,0.018044284418372067
0,-0.24,-0.5800000000000001,0.0006331453326192972
0,-0.22,-0.5800000000000001,0.0008426463479987839
0,-0.2,-0.5800000000000001,0.0009021610038399008
0,-0.17999999999999994,-0.5800000000000001,0.0009720756130379084
0,-0.16000000000000006,-0.5800000000000001,0.0010021709245646615
0,-0.14,-0.5800000000000001,0.0011302830779417645
0,-0.12,-0.5800000000000001,0.0013853273900927823
0,-0.09999999999999998,-0.5800000000000001,0.0017188522497746587
0,-0.07999999999999996,-0.5800000000000001,0.0024115744887830393
0,-0.059999999999999935,-0.5800000000000001,0.003720990175424436
0,-0.040000000000000036,-0.5800000000000001,0.005776406933793962
0,-0.020000000000000014,-0.5800000000000001,0.00965370829922359
0,0.0,-0.5800000000000001,0.015207836281609929
0,0.020000000000000014,-0.5800000000000001,0.01860264061197008
0,0.040000000000000036,-0.5800000000000001,0.01833186522162096
0,0.06000000000000005,-0.5800000000000001,0.018012164533095648
0,0.08000000000000007,-0.5800000000000001,0.01765006463388421
0,-0.22,-0.56,0.0005649545497276267
0,-0.2,-0.56,0.0007731104410666434
0,-0.17999999999999994,-0.56,0.0008928074201639094
0,-0.16000000000000006,-0.56,0.0009174461259676556
0,-0.14,-0.56,0.0009578832079790913
0,-0.12,-0.56,0.0010592998343558497
0,-0.09999999999999998,-0.56,0.0012625867304679342
0,-0.07999999999999996,-0.56,0.0017124863091781267
0,-0.059999999999999935,-0.56,0.0023446065180100033
0,-0.040000000000000036,-0.56,0.0035134804251931977
0,-0.020000000000000014,-0.56,0.005521235423558107
0,0.0,-0.56,0.00894838591022182
0,0.020000000000000014,-0.56,0.013751300621862885
0,0.040000000000000036,-0.56,0.018281948046287477
0,0.06000000000000005,-0.56,0.01796207852802384
0,0.08000000000000007,-0.56,0.017594869875339245
0,0.10000000000000007,-0.56,0.017186596204952304
0,-0.22,-0.54,0.00042515997460238126
0,-0.2,-0.54,0.0005017209265592384
0,-0.17999999999999994,-0.54,0.0007030415988993094
0,-0.16000000000000006,-0.54,0.0008742003815189484
0,-0.14,-0.54,0.0008901449029014919
0,-0.12,-0.54,0.0009596816401136403
0,-0.09999999999999998,-0.54,0.0010195693859544911
0,-0.07999999999999996,-0.54,0.0012488766373072203
0,-0.059999999999999935,-0.54,0.0015687536468890354
0,-0.040000000000000036,-0.54,0.002245315690205047
0,-0.020000000000000014,-0.54,0.0032901475844006704
0,0.0,-0.54,0.00522467809638392
0,0.020000000000000014,-0.54,0.008306554011240416
0,0.040000000000000036,-0.54,0.012409427305143472
0,0.06000000000000005,-0.54,0.017914290604973508
