,I_e,I_i,stability,static,dynamic,double,p_random,p_down
0,0.76,-0.99,1,0,0,0,1,1
0,0.77,-0.99,1,0,0,0,1,1
0,0.78,-0.99,1,0,0,0,1,1
0,0.79,-0.99,1,0,0,0,1,1
0,0.8,-0.99,1,0,0,0,1,1
0,0.81,-0.99,1,0,0,0,1,1
0,0.8200000000000001,-0.99,1,0,0,0,1,1
0,0.8300000000000001,-0.99,1,0,0,0,1,1
0,0.8400000000000001,-0.99,1,0,0,0,1,1
0,0.8500000000000001,-0.99,1,0,0,0,1,1
0,0.8600000000000001,-0.99,1,0,0,0,1,1
0,0.8700000000000001,-0.99,1,0,0,0,1,1
0,0.8800000000000001,-0.99,1,0,0,0,1,1
0,0.8900000000000001,-0.99,1,0,0,0,1,1
0,0.9000000000000001,-0.99,1,0,0,0,1,1
0,0.9100000000000001,-0.99,1,0,0,0,1,1
0,0.9199999999999999,-0.99,1,0,0,0,1,1
0,0.9299999999999999,-0.99,1,0,0,0,1,1
0,0.94,-0.99,1,0,0,0,1,1
0,0.95,-0.99,1,0,0,0,1,1
0,0.96,-0.99,1,0,0,0,1,1
0,0.97,-0.99,1,0,0,0,1,1
0,0.98,-0.99,1,0,0,0,1,1
0,0.99,-0.99,1,0,0,0,1,1
0,1.0,-0.99,1,0,0,0,1,1
0,-1.0,-0.98,1,0,0,0,1,1
0,-0.99,-0.98,1,0,0,0,1,1
0,-0.98,-0.98,1,0,0,0,1,1
0,-0.97,-0.98,1,0,0,0,1,1
0,-0.96,-0.98,1,0,0,0,1,1
0,-0.95,-0.98,1,0,0,0,1,1
0,-0.94,-0.98,1,0,0,0,1,1
0,-0.9299999999999999,-0.98,1,0,0,0,1,1
0,-0.92,-0.98,1,0,0,0,1,1
0,-0.91,-0.98,1,0,0,0,1,1
0,-0.9,-0.98,1,0,0,0,1,1
0,-0.89,-0.98,1,0,0,0,1,1
0,-0.88,-0.98,1,0,0,0,1,1
0,-0.87,-0.98,1,0,0,0,1,1
0,-0.86,-0.98,1,0,0,0,1,1
0,-0.85,-0.98,1,0,0,0,1,1
0,-0.84,-0.98,1,0,0,0,1,1
0,-0.83,-0.98,1,0,0,0,1,1
0,-0.8200000000000001,-0.98,1,0,0,0,1,1
0,-0.81,-0.98,1,0,0,0,1,1
0,-0.8,-0.98,1,0,0,0,1,1
0,-0.79,-0.98,1,0,0,0,1,1
0,-0.78,-0.98,1,0,0,0,1,1
0,-0.77,-0.98,1,0,0,0,1,1
0,-0.76,-0.98,1,0,0,0,1,1
0,-0.75,-0.98,1,0,0,0,1,1
0,-0.74,-0.98,1,0,0,0,1,1
0,-0.73,-0.98,1,0,0,0,1,1
0,-0.72,-0.98,1,0,0,0,1,1
0,-0.71,-0.98,1,0,0,0,1,1
0,-0.7,-0.98,1,0,0,0,1,1
0,-0.69,-0.98,1,0,0,0,1,1
0,-0.6799999999999999,-0.98,1,0,0,0,1,1
0,-0.6699999999999999,-0.98,1,0,0,0,1,1
0,-0.6599999999999999,-0.98,1,1,1,0,4,4
0,-0.6499999999999999,-0.98,0,0,0,0,4,4
0,-0.64,-0.98,0,0,0,0,4,4
0,-0.63,-0.98,0,0,0,0,4,4
0,-0.62,-0.98,0,0,0,0,4,4
0,-0.61,-0.98,0,0,0,0,4,4
0,-0.6,-0.98,0,0,0,0,4,4
0,-0.59,-0.98,0,0,0,0,4,4
0,-0.5800000000000001,-0.98,0,0,0,0,4,4
0,-0.5700000000000001,-0.98,0,0,0,0,4,4
0,-0.56,-0.98,0,0,0,0,4,4
0,-0.55,-0.98,0,0,0,0,4,4
0,-0.54,-0.98,0,0,0,0,4,4
0,-0.53,-0.98,0,0,0,0,4,4
0,-0.52,-0.98,0,0,0,0,4,4
0,-0.51,-0.98,0,0,0,0,4,4
0,-0.5,-0.98,0,0,0,0,4,4
0,-0.49,-0.98,0,0,0,0,4,4
0,-0.48,-0.98,0,0,0,0,4,4
0,-0.47,-0.98,0,0,0,0,4,4
0,-0.45999999999999996,-0.98,0,0,0,0,4,4
0,-0.44999999999999996,-0.98,0,0,0,0,2,2
0,-0.43999999999999995,-0.98,0,0,0,0,2,2
0,-0.42999999999999994,-0.98,0,0,0,0,2,2
0,-0.42000000000000004,-0.98,0,0,0,0,2,2
0,-0.41000000000000003,-0.98,0,0,0,0,2,2
0,-0.4,-0.98,0,0,0,0,2,2
0,-0.39,-0.98,0,0,0,0,2,2
0,-0.38,-0.98,0,0,0,0,2,2
