,I_e,I_i,dom_frequ,down_duration,up_duration
0,-0.6499999999999999,-0.94,3.2,0.305534375,0.0069656250000000005
0,-0.64,-0.94,3.7,0.2533297297297298,0.016940540540540543
0,-0.63,-0.94,4.0,0.23016250000000002,0.0198375
0,-0.62,-0.94,4.1000000000000005,0.22119756097560972,0.022704878048780488
0,-0.61,-0.94,4.3,0.20785581395348837,0.02470232558139535
0,-0.6,-0.94,8.0,0.10986,0.01514
0,-0.59,-0.94,7.0,0.12372285714285715,0.019134285714285718
0,-0.5800000000000001,-0.94,6.1000000000000005,0.13973278688524587,0.024201639344262293
0,-0.5700000000000001,-0.94,5.1000000000000005,0.1645254901960784,0.03155294117647059
0,-0.56,-0.94,1.7000000000000002,0.472764705882353,0.11547058823529413
0,-0.55,-0.94,2.0,0.38195500000000004,0.11804500000000002
0,-0.54,-0.94,2.0,0.37870000000000004,0.12130000000000002
0,-0.53,-0.94,2.0,0.373495,0.126505
0,-0.52,-0.94,2.0,0.37201,0.12799000000000002
0,-0.51,-0.94,2.0,0.36402500000000004,0.13597499999999998
0,-0.5,-0.94,2.0,0.36028000000000004,0.13972
0,-0.49,-0.94,2.1,0.3439238095238096,0.13226666666666667
0,-0.48,-0.94,2.1,0.3387857142857143,0.1374047619047619
0,-0.47,-0.94,2.1,0.33684761904761906,0.13934285714285713
0,-0.46,-0.94,2.1,0.33503809523809525,0.14115238095238097
0,-0.45,-0.94,2.2,0.30804090909090914,0.14650454545454544
0,-0.44,-0.94,2.1,0.33166666666666667,0.14452380952380953
0,-0.43,-0.94,2.2,0.3062318181818182,0.1483136363636364
0,-0.42,-0.94,2.2,0.3135227272727273,0.14102272727272727
0,0.3800000000000001,-0.94,1.7000000000000002,0.13298823529411766,0.45524705882352945
0,-0.64,-0.93,3.6,0.26230277777777783,0.015475000000000001
0,-0.63,-0.93,3.9000000000000004,0.23716923076923077,0.019241025641025644
0,-0.62,-0.93,4.1000000000000005,0.22212926829268292,0.021773170731707314
0,-0.61,-0.93,4.800000000000001,0.18704374999999998,0.021289583333333334
0,-0.6,-0.93,8.1,0.10904444444444444,0.014412345679012348
0,-0.59,-0.93,7.2,0.12065000000000001,0.01823888888888889
0,-0.5800000000000001,-0.93,6.300000000000001,0.1361,0.02263015873015873
0,-0.5700000000000001,-0.93,5.5,0.15348363636363635,0.02833454545454546
0,-0.56,-0.93,4.6000000000000005,0.18089565217391304,0.03649565217391304
0,-0.55,-0.93,2.0,0.38661500000000004,0.113385
0,-0.54,-0.93,2.0,0.37936000000000003,0.12064000000000001
0,-0.53,-0.93,2.0,0.37692000000000003,0.12308
0,-0.52,-0.93,2.0,0.370865,0.129135
0,-0.51,-0.93,2.0,0.36425500000000005,0.135745
0,-0.5,-0.93,2.2,0.3299545454545455,0.12459090909090911
0,-0.49,-0.93,2.1,0.34537619047619045,0.13081428571428572
0,-0.48,-0.93,2.1,0.3463333333333334,0.12985714285714287
0,-0.47,-0.93,2.1,0.3378285714285714,0.1383619047619048
0,-0.46,-0.93,2.1,0.3359428571428572,0.14024761904761907
0,-0.45,-0.93,2.1,0.3341809523809524,0.1420095238095238
0,-0.44,-0.93,2.2,0.3110681818181818,0.14347727272727273
0,-0.43,-0.93,2.2,0.3087590909090909,0.14578636363636363
0,-0.42,-0.93,2.1,0.32570476190476194,0.1504857142857143
0,-0.41,-0.93,2.2,0.3060090909090909,0.14853636363636363
0,0.3800000000000001,-0.93,1.7000000000000002,0.13001176470588235,0.45822352941176475
0,-0.64,-0.92,3.4000000000000004,0.2809676470588235,0.01315
0,-0.63,-0.92,3.9000000000000004,0.2388948717948718,0.017515384615384617
0,-0.62,-0.92,4.1000000000000005,0.22353414634146337,0.02036829268292683
0,-0.61,-0.92,4.3,0.2101953488372093,0.022362790697674422
0,-0.6,-0.92,4.4,0.20287954545454545,0.02439318181818182
0,-0.59,-0.92,7.300000000000001,0.11973287671232878,0.01725342465753425
0,-0.5800000000000001,-0.92,6.5,0.1323769230769231,0.021469230769230768
0,-0.5700000000000001,-0.92,5.800000000000001,0.1464258620689655,0.025987931034482756
0,-0.56,-0.92,5.0,0.16725800000000002,0.03274200000000001
