,I_e,I_i,stability,turing,turing_hopf,p_random,p_turing
0,2.0999999999999996,-0.1999999999999993,2,1,0,1,3
0,2.0999999999999996,0.20000000000000018,2,0,0,1,0
0,2.0999999999999996,0.6000000000000005,2,0,0,1,0
0,2.0999999999999996,1.0,2,0,0,1,0
0,2.0999999999999996,1.4000000000000004,2,0,0,1,0
0,2.0999999999999996,1.8000000000000007,2,0,0,1,0
0,2.0999999999999996,2.2,2,0,0,1,0
0,2.0999999999999996,2.6000000000000005,2,0,0,1,0
0,2.0999999999999996,3.0,2,0,0,1,0
0,2.3999999999999995,-5.0,1,0,0,1,0
0,2.3999999999999995,-4.6,1,0,0,1,0
0,2.3999999999999995,-4.2,1,0,0,1,0
0,2.3999999999999995,-3.8,1,0,0,1,0
0,2.3999999999999995,-3.4,1,0,0,1,0
0,2.3999999999999995,-3.0,1,0,0,1,0
0,2.3999999999999995,-2.5999999999999996,1,0,0,1,0
0,2.3999999999999995,-2.1999999999999997,1,0,0,1,0
0,2.3999999999999995,-1.7999999999999998,1,0,0,1,0
0,2.3999999999999995,-1.4,1,0,0,1,0
0,2.3999999999999995,-1.0,1,0,0,1,0
0,2.3999999999999995,-0.5999999999999996,1,0,0,1,0
0,2.3999999999999995,-0.1999999999999993,1,0,0,1,0
0,2.3999999999999995,0.20000000000000018,2,1,0,1,3
0,2.3999999999999995,0.6000000000000005,2,0,0,1,0
0,2.3999999999999995,1.0,2,0,0,1,0
0,2.3999999999999995,1.4000000000000004,2,0,0,1,0
0,2.3999999999999995,1.8000000000000007,2,0,0,1,0
0,2.3999999999999995,2.2,2,0,0,1,0
0,2.3999999999999995,2.6000000000000005,2,0,0,1,0
0,2.3999999999999995,3.0,2,0,0,1,0
0,2.7,-5.0,1,0,0,1,0
0,2.7,-4.6,1,0,0,1,0
0,2.7,-4.2,1,0,0,1,0
0,2.7,-3.8,1,0,0,1,0
0,2.7,-3.4,1,0,0,1,0
0,2.7,-3.0,1,0,0,1,0
0,2.7,-2.5999999999999996,1,0,0,1,0
0,2.7,-2.1999999999999997,1,0,0,1,0
0,2.7,-1.7999999999999998,1,0,0,1,0
0,2.7,-1.4,1,0,0,1,0
0,2.7,-1.0,1,0,0,1,0
0,2.7,-0.5999999999999996,1,0,0,1,0
0,2.7,-0.1999999999999993,1,0,0,1,0
0,2.7,0.20000000000000018,2,1,0,1,3
0,2.7,0.6000000000000005,2,0,0,1,0
0,2.7,1.0,2,0,0,1,0
0,2.7,1.4000000000000004,2,0,0,1,0
0,2.7,1.8000000000000007,2,0,0,1,0
0,2.7,2.2,2,0,0,1,0
0,2.7,2.6000000000000005,1,0,0,1,0
0,2.7,3.0,1,0,0,1,0
0,3.0,-5.0,1,0,0,1,0
0,3.0,-4.6,1,0,0,1,0
0,3.0,-4.2,1,0,0,1,0
0,3.0,-3.8,1,0,0,1,0
0,3.0,-3.4,1,0,0,1,0
0,3.0,-3.0,1,0,0,1,0
0,3.0,-2.5999999999999996,1,0,0,1,0
0,3.0,-2.1999999999999997,1,0,0,1,0
