,I_e,I_i,dom_frequ,up_space,down_space
0,-0.3555555555555554,-1.4666666666666668,6.0,4.6875,3.6458333333333335
0,-0.3555555555555554,-1.422222222222222,5.0,5.390625,4.609375
0,-0.3555555555555554,-1.3777777777777778,5.0,5.234375,4.765625
0,-0.3555555555555554,-1.3333333333333333,5.0,5.15625,4.84375
0,-0.3555555555555554,-1.2888888888888888,5.0,5.0,5.0
0,-0.3555555555555554,-1.2444444444444445,6.0,4.166666666666666,4.166666666666666
0,-0.3555555555555554,-1.2,5.0,4.84375,5.15625
0,-0.3555555555555554,-1.1555555555555554,5.0,4.6875,5.3125
0,-0.3555555555555554,-1.1111111111111112,5.0,4.53125,5.46875
0,-0.3555555555555554,-1.0666666666666669,6.0,3.7760416666666665,4.557291666666666
0,-0.3555555555555554,-1.022222222222222,5.0,4.296875,5.703125
0,-0.3555555555555554,-0.9777777777777776,5.0,4.21875,5.78125
0,-0.3555555555555554,-0.9333333333333332,5.0,4.0625,5.9375
0,-0.3555555555555554,-0.8888888888888888,5.0,3.90625,6.09375
0,-0.3555555555555554,-0.8444444444444443,5.0,3.8281250000000004,6.171875
0,-0.3555555555555554,-0.8,5.0,3.75,6.25
0,-0.3555555555555554,-0.7555555555555555,5.0,3.5937499999999996,6.406249999999999
0,-0.3555555555555554,-0.711111111111111,5.0,3.4375000000000004,6.5625
0,-0.3555555555555554,-0.6666666666666665,6.0,2.864583333333333,5.46875
0,-0.3555555555555554,-0.6222222222222222,6.0,2.734375,5.598958333333334
0,-0.3555555555555554,-0.5777777777777777,5.0,2.96875,7.03125
0,-0.3111111111111111,-1.8666666666666667,5.0,6.953125,3.046875
0,-0.3111111111111111,-1.8222222222222224,6.0,5.729166666666666,2.604166666666667
0,-0.3111111111111111,-1.7777777777777777,6.0,5.598958333333334,2.734375
0,-0.3111111111111111,-1.7333333333333334,6.0,5.46875,2.864583333333333
0,-0.3111111111111111,-1.6888888888888889,6.0,5.338541666666666,2.994791666666667
0,-0.3111111111111111,-1.6444444444444444,6.0,5.208333333333334,3.125
0,-0.3111111111111111,-1.6,6.0,5.078125,3.2552083333333335
0,-0.3111111111111111,-1.5555555555555556,6.0,5.078125,3.2552083333333335
0,-0.3111111111111111,-1.511111111111111,6.0,4.817708333333334,3.515625
0,-0.3111111111111111,-1.4666666666666668,6.0,4.817708333333334,3.515625
0,-0.3111111111111111,-1.422222222222222,5.0,5.703125,4.296875
0,-0.3111111111111111,-1.3777777777777778,5.0,5.546875,4.453125
0,-0.3111111111111111,-1.3333333333333333,6.0,4.557291666666666,3.7760416666666665
0,-0.3111111111111111,-1.2888888888888888,6.0,4.427083333333334,3.90625
0,-0.3111111111111111,-1.2444444444444445,6.0,4.296875,4.036458333333334
0,-0.3111111111111111,-1.2,5.0,5.078125,4.921875
0,-0.3111111111111111,-1.1555555555555554,5.0,5.0,5.0
0,-0.3111111111111111,-1.1111111111111112,6.0,4.036458333333334,4.296875
0,-0.3111111111111111,-1.0666666666666669,5.0,4.6875,5.3125
0,-0.3111111111111111,-1.022222222222222,6.0,3.90625,4.427083333333334
0,-0.3111111111111111,-0.9777777777777776,6.0,3.90625,4.427083333333334
